,LinearRegression,DecisionTree,RandomForest,KNeighbors
original,29132.322334818167,34780.26572393669,26712.70046606315,42466.89312671985
feature_engineering,19457.806684833206,19894.07320315847,16846.735993229504,42466.89312671985
denoising,29126.961798521304,37495.86073633144,28205.95056414206,42466.89312671985
jittering,29057.490691528055,41748.97036528486,27868.966730196582,84889.17362518232
knn,23537.289697439857,31241.17284836936,20598.619592740906,39836.85742042581
generative,52552.43754253544,42158.09832244187,31367.704199512915,46076.1441401442
