Model,Train RMSE,Test RMSE,Train R²,Test R²,Train MAE,Test MAE,Train MSE,Test MSE
Linear Regression,10590.297210864514,23733.60920291349,0.981137013983326,0.9297435811234566,7300.891958876472,9791.618555923269,112154395.0144447,563284205.7966198
Decision Tree,0.0,19849.711219518875,1.0,0.9508564165884964,0.0,11320.924914675768,0.0,394011035.4982935
Random Forest,6478.832465291906,16536.97114663453,0.9929402772571534,0.965890891197496,2557.1685921501703,7070.919590443686,41975270.1133204,273471414.70462286
KNN,36668.91502171158,47591.98176055855,0.7738532942459523,0.7174950811125502,21670.615443686005,27757.36518771331,1344609328.8695052,2264996727.8973374
