Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE
Linear Regression,18786.442723989112,35230.00047308888,0.9406414544051199,0.845195445785964,13033.26202973964,16405.093827169312
Decision Tree,0.0,35128.64850051445,1.0,0.8460848683279429,0.0,24304.64675767918
Random Forest,10144.146088191717,26993.671162833383,0.9826928668176906,0.9091170655758484,5871.7829778157,16029.352508532424
KNN,37512.76839230695,49282.60325540953,0.7633250047114778,0.697067606634799,22215.4773890785,28889.3976109215
