Model,Train RMSE,Test RMSE,Train R²,Test R²,Train MAE,Test MAE,Train Explained Variance,Test Explained Variance
LinearRegression,18786.662122333517,5008325359992.398,0.9406400679539576,-3128552910154290.0,13034.662651407354,219453252704.55518,0.9406400679578137,-3122546120694970.5
DecisionTreeRegressor,450.25069278744235,37029.50009167686,0.9999659040398153,0.8289771525089905,57.74242916734386,25036.61272279105,0.9999659040398153,0.8300511013344761
RandomForestRegressor,10024.513843338382,26178.450626617512,0.9830986737308727,0.91452358213309,5848.7710068259385,15885.582252559725,0.9830991592329985,0.914873418374221
KNeighborsRegressor,30971.028244894584,42045.12058671168,0.8386736179507769,0.7795096230935816,19615.24598976109,25986.361774744026,0.8407376062632218,0.7877684201633852
